职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
深度学习,16-30K·15薪,长沙,芙蓉区,马王堆,3-5年,硕士,"['通讯补贴', '生日福利', '加班补助', '免费班车', '餐补', '团建聚餐', '零食下午茶', '节日福利', '带薪年假', '补充医疗保险', '年终奖', '五险一金', '底薪加提成']","['发表算法相关优秀论文', 'C/C++', 'Shell', '机器学习', '图像算法', '大模型算法', '自然语言处理算法', '算法工程化经验', '强化学习', '优秀开源项目经历', 'Python']",16.0,30.0,1.25,28.75,3,5,6,硕士,AI/算法工程师,"['通讯补贴', '生日福利', '加班补助', '免费班车', '餐补', '团建聚餐', '零食下午茶', '节日福利', '带薪年假', '补充医疗保险', '年终奖', '五险一金', '底薪加提成']","['发表算法相关优秀论文', 'C/C++', 'Shell', '机器学习', '图像算法', '大模型算法', '自然语言处理算法', '算法工程化经验', '强化学习', '优秀开源项目经历', 'Python']",13,11,1,1,0
IDE应用开发工程师,15-30K,长沙,芙蓉区,烈士公园,5-10年,本科,"['五险一金', '定期体检', '节日福利', '通讯补贴', '员工旅游', '带薪年假']","['C++', 'Python', 'C#', 'QT', '架构设计经验', '.net']",15.0,30.0,1.0,22.5,5,10,5,本科,开发工程师,"['五险一金', '定期体检', '节日福利', '通讯补贴', '员工旅游', '带薪年假']","['C++', 'Python', 'C#', 'QT', '架构设计经验', '.net']",6,6,0,1,0
具身智能工具链平台架构师,40-60K,长沙,,,3-5年,博士,[],[],40.0,60.0,1.0,50.0,3,5,7,博士,架构师/技术管理,[],[],0,0,0,0,0
系统运维,5-6K,长沙,芙蓉区,韭菜园,经验不限,大专,[],[],5.0,6.0,1.0,5.5,0,0,4,大专,运维工程师,[],[],0,0,0,0,0
物联网软件程序员（中级）,7-12K,长沙,芙蓉区,湖南农业大学,3-5年,本科,"['免费工装', '带薪年假', '五险一金', '节日福利', '团建聚餐', '意外险', '生日福利', '定期体检', '绩效奖金', '员工旅游']",['.NET'],7.0,12.0,1.0,9.5,3,5,5,本科,其他,"['免费工装', '带薪年假', '五险一金', '节日福利', '团建聚餐', '意外险', '生日福利', '定期体检', '绩效奖金', '员工旅游']",['.NET'],10,1,0,0,0
数据/策略运营-共享充电宝,6-10K,长沙,芙蓉区,马王堆,3-5年,本科,"['年终奖', '定期体检', '餐补', '交通补助', '法定节假日三薪', '生日福利', '补充医疗保险', '通讯补贴', '节日福利', '五险一金', '员工旅游', '团建聚餐', '带薪年假', '免费班车']","['业务模式/运营策略优化', '用户深度研究', '定性研究', '数据分析/商业分析经验', '竞品分析']",6.0,10.0,1.0,8.0,3,5,5,本科,其他,"['年终奖', '定期体检', '餐补', '交通补助', '法定节假日三薪', '生日福利', '补充医疗保险', '通讯补贴', '节日福利', '五险一金', '员工旅游', '团建聚餐', '带薪年假', '免费班车']","['业务模式/运营策略优化', '用户深度研究', '定性研究', '数据分析/商业分析经验', '竞品分析']",14,5,0,0,0
数据分析,8-10K,长沙,芙蓉区,人民中路,1-3年,本科,"['零食下午茶', '定期体检', '课程优惠', '员工旅游', '餐补', '年终奖', '节日福利', '带薪年假', '五险一金']","['SQL', 'Python', '数学/统计相关专业', '经济/工商管理相关专业', '数据分析/挖掘经验']",8.0,10.0,1.0,9.0,1,3,5,本科,数据分析/工程师,"['零食下午茶', '定期体检', '课程优惠', '员工旅游', '餐补', '年终奖', '节日福利', '带薪年假', '五险一金']","['SQL', 'Python', '数学/统计相关专业', '经济/工商管理相关专业', '数据分析/挖掘经验']",9,5,0,1,0
软件开发Python/Java/Javascript/C/C++(OD),15-25K·14薪,长沙,,,经验不限,本科,"['企业年金', '带薪年假', '定期体检', '团建聚餐', '零食下午茶', '年终奖', '保底工资', '意外险', '交通补助', '股票期权', '五险一金', '加班补助', '员工旅游', '法定节假日三薪', '节假日加班费', '节日福利', '补充医疗保险', '夜班补助', '绩效奖金', '免费班车']","['C', 'Python', 'Pandas', 'Django', 'PyTorch', 'MySQL', '分布式经验', 'Linux开发/部署经验', '机器学习经验']",15.0,25.0,1.1666666666666667,23.333333333333336,0,0,5,本科,开发工程师,"['企业年金', '带薪年假', '定期体检', '团建聚餐', '零食下午茶', '年终奖', '保底工资', '意外险', '交通补助', '股票期权', '五险一金', '加班补助', '员工旅游', '法定节假日三薪', '节假日加班费', '节日福利', '补充医疗保险', '夜班补助', '绩效奖金', '免费班车']","['C', 'Python', 'Pandas', 'Django', 'PyTorch', 'MySQL', '分布式经验', 'Linux开发/部署经验', '机器学习经验']",20,9,0,1,0
测试工程师,6-8K,长沙,芙蓉区,东屯渡,3-5年,大专,"['定期体检', '餐饮补贴', '餐补', '零食下午茶', '交通补助', '团建聚餐', '员工旅游', '高温补贴', '五险一金', '带薪年假', '交通补贴', '年终奖', '节日福利']","['Java', '自动化测试', 'Python']",6.0,8.0,1.0,7.0,3,5,4,大专,测试工程师,"['定期体检', '餐饮补贴', '餐补', '零食下午茶', '交通补助', '团建聚餐', '员工旅游', '高温补贴', '五险一金', '带薪年假', '交通补贴', '年终奖', '节日福利']","['Java', '自动化测试', 'Python']",13,3,0,1,0
软件测试工程师,7-9K,长沙,芙蓉区,马王堆,1-3年,本科,"['保底工资', '绩效奖金', '包吃', '底薪加提成']",[],7.0,9.0,1.0,8.0,1,3,5,本科,测试工程师,"['保底工资', '绩效奖金', '包吃', '底薪加提成']",[],4,0,0,0,0
ai人工智能,13-18K,长沙,芙蓉区,五一广场,1-3年,本科,"['有无线网', '员工旅游', '节假日加班费', '全勤奖', '底薪加提成', '团建聚餐', '带薪年假', '工龄奖', '年终奖', '绩效奖金', '加班补助', '节日福利', '保底工资', '法定节假日三薪', '五险一金', '生日福利']","['Python', 'C/C++', 'R']",13.0,18.0,1.0,15.5,1,3,5,本科,AI/算法工程师,"['有无线网', '员工旅游', '节假日加班费', '全勤奖', '底薪加提成', '团建聚餐', '带薪年假', '工龄奖', '年终奖', '绩效奖金', '加班补助', '节日福利', '保底工资', '法定节假日三薪', '五险一金', '生日福利']","['Python', 'C/C++', 'R']",16,3,1,1,0
高级解决方案工程师,10-15K,长沙,芙蓉区,火车站,3-5年,本科,"['零食下午茶', '交通补助', '提供住宿', '带薪年假', '别墅办公', '五险一金', '节日福利', '员工旅游']","['B端产品', 'ERP产品/软件产品', '物联网产品']",10.0,15.0,1.0,12.5,3,5,5,本科,其他,"['零食下午茶', '交通补助', '提供住宿', '带薪年假', '别墅办公', '五险一金', '节日福利', '员工旅游']","['B端产品', 'ERP产品/软件产品', '物联网产品']",8,3,0,0,0
高级大数据开发工程师,21-22K,长沙,,,3-5年,本科,[],"['要求有数仓开发经验', '接受无实时数仓经验', 'Spark', '数据建模经验', '数据治理经验', '金融行业经验', '非外包类', 'Java']",21.0,22.0,1.0,21.5,3,5,5,本科,开发工程师,[],"['要求有数仓开发经验', '接受无实时数仓经验', 'Spark', '数据建模经验', '数据治理经验', '金融行业经验', '非外包类', 'Java']",0,8,0,0,0
高级Java开发工程师-广告归因系统,12-18K,长沙,芙蓉区,韭菜园,5-10年,大专,"['节日福利', '员工旅游', '生日福利', '交通补助', '年终奖', '零食下午茶', '团建聚餐', '五险一金', '带薪年假']","['Python', 'SQL', '微服务架构', '负载均衡技术', '分布式技术', '架构师', '后端开发', 'Spring']",12.0,18.0,1.0,15.0,5,10,4,大专,开发工程师,"['节日福利', '员工旅游', '生日福利', '交通补助', '年终奖', '零食下午茶', '团建聚餐', '五险一金', '带薪年假']","['Python', 'SQL', '微服务架构', '负载均衡技术', '分布式技术', '架构师', '后端开发', 'Spring']",9,8,0,1,0
软件开发工程师/测试开发工程师,15-30K·14薪,长沙,芙蓉区,韭菜园,经验不限,本科,"['年终奖', '定期体检', '法定节假日三薪', '节日福利', '免费班车', '节假日加班费', '零食下午茶', '团建聚餐', '带薪年假', '意外险', '补充医疗保险', '生日福利', '五险一金', '保底工资', '加班补助', '员工旅游', '夜班补助', '交通补助', '住房补贴', '绩效奖金']","['C', 'Python', 'Linux开发/部署经验', '嵌入式软件经验']",15.0,30.0,1.1666666666666667,26.25,0,0,5,本科,开发工程师,"['年终奖', '定期体检', '法定节假日三薪', '节日福利', '免费班车', '节假日加班费', '零食下午茶', '团建聚餐', '带薪年假', '意外险', '补充医疗保险', '生日福利', '五险一金', '保底工资', '加班补助', '员工旅游', '夜班补助', '交通补助', '住房补贴', '绩效奖金']","['C', 'Python', 'Linux开发/部署经验', '嵌入式软件经验']",20,4,0,1,0
数据分析师,10-11K,长沙,芙蓉区,烈士公园,1-3年,大专,"['全勤奖', '餐补', '带薪年假', '年终奖', '五险一金', '员工旅游', '通讯补贴', '免费班车', '股票期权', '交通补助', '加班补助', '定期体检']","['SQL', 'Python', 'Excel']",10.0,11.0,1.0,10.5,1,3,4,大专,数据分析/工程师,"['全勤奖', '餐补', '带薪年假', '年终奖', '五险一金', '员工旅游', '通讯补贴', '免费班车', '股票期权', '交通补助', '加班补助', '定期体检']","['SQL', 'Python', 'Excel']",12,3,0,1,0
图像算法工程师,20-30K,长沙,,,经验不限,本科,"['五险一金', '定期体检', '股票期权', '餐补', '节日福利', '月度绩效奖金', '年度绩效奖金']","['视觉算法', '算法模型移植嵌入式']",20.0,30.0,1.0,25.0,0,0,5,本科,AI/算法工程师,"['五险一金', '定期体检', '股票期权', '餐补', '节日福利', '月度绩效奖金', '年度绩效奖金']","['视觉算法', '算法模型移植嵌入式']",7,2,1,0,0
资深游戏策划,18-35K,长沙,芙蓉区,荷花路,5-10年,本科,"['出差补助', '绩效奖金', '底薪加提成', '保底工资']","['经济系统搭建', '公式设计', '平衡制定', '职业系统设计', 'VR', '第一人称', '俯瞰', '横版', '第三人称', 'MOBA游戏', 'RPG游戏', 'RTS游戏', '体育/竞技', '休闲益智']",18.0,35.0,1.0,26.5,5,10,5,本科,其他,"['出差补助', '绩效奖金', '底薪加提成', '保底工资']","['经济系统搭建', '公式设计', '平衡制定', '职业系统设计', 'VR', '第一人称', '俯瞰', '横版', '第三人称', 'MOBA游戏', 'RPG游戏', 'RTS游戏', '体育/竞技', '休闲益智']",4,14,0,0,0
反欺诈分析建模师（长期出差）,15-30K,长沙,芙蓉区,韭菜园,3-5年,本科,"['带薪年假', '定期体检', '五险一金', '补充医疗保险', '团建聚餐', '节日福利']",[],15.0,30.0,1.0,22.5,3,5,5,本科,其他,"['带薪年假', '定期体检', '五险一金', '补充医疗保险', '团建聚餐', '节日福利']",[],6,0,0,0,0
C/C++工程师,15-25K,长沙,芙蓉区,马王堆,3-5年,本科,"['工龄奖', '定期体检', '团建聚餐', '五险一金', '节日福利', '加班补助', '绩效奖金']","['C++服务端开发经验', 'C++', 'C语言', '国内院校优先', '计算机相关专业', 'Linux开发/部署经验']",15.0,25.0,1.0,20.0,3,5,5,本科,开发工程师,"['工龄奖', '定期体检', '团建聚餐', '五险一金', '节日福利', '加班补助', '绩效奖金']","['C++服务端开发经验', 'C++', 'C语言', '国内院校优先', '计算机相关专业', 'Linux开发/部署经验']",7,6,0,0,0
大数据开发工程师,8-13K,长沙,芙蓉区,韭菜园,5-10年,大专,"['带薪年假', '节日福利']","['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', 'Kafka', 'Spark', 'Python', 'Java', 'ETL开发经验']",8.0,13.0,1.0,10.5,5,10,4,大专,开发工程师,"['带薪年假', '节日福利']","['要求数据开发经验', '数据平台开发经验', '数据仓库开发经验', 'Kafka', 'Spark', 'Python', 'Java', 'ETL开发经验']",2,8,0,1,0
高级图像算法,30-50K,长沙,,,5-10年,硕士,"['加班补助', '带薪年假', '五险一金', '餐补', '年终奖', '节日福利']","['Python', 'C/C++', '机器学习', '人像算法', '图像生成', '2D虚拟人', '3D虚拟人/图片生成', '人脸/服饰生成']",30.0,50.0,1.0,40.0,5,10,6,硕士,AI/算法工程师,"['加班补助', '带薪年假', '五险一金', '餐补', '年终奖', '节日福利']","['Python', 'C/C++', '机器学习', '人像算法', '图像生成', '2D虚拟人', '3D虚拟人/图片生成', '人脸/服饰生成']",6,8,1,1,0
测试工程师（双休+五险一金）证券行业对口,7-12K·14薪,长沙,芙蓉区,火车站,1-3年,本科,"['五险一金', '补充医疗保险', '带薪年假', '节日福利']","['测试工作经验', '自动化测试', '金融从业经验', 'MySQL', '功能测试', '证券从业经验', '计算机相关专业', 'JMeter', 'Postman', 'Python']",7.0,12.0,1.1666666666666667,11.083333333333334,1,3,5,本科,测试工程师,"['五险一金', '补充医疗保险', '带薪年假', '节日福利']","['测试工作经验', '自动化测试', '金融从业经验', 'MySQL', '功能测试', '证券从业经验', '计算机相关专业', 'JMeter', 'Postman', 'Python']",4,10,0,1,0
对日 软件开发工程师,17-25K,长沙,芙蓉区,韭菜园,5-10年,大专,[],"['Java', 'Nginx', '不接受居家办公', '分布式经验', 'MySQL', 'Spring']",17.0,25.0,1.0,21.0,5,10,4,大专,开发工程师,[],"['Java', 'Nginx', '不接受居家办公', '分布式经验', 'MySQL', 'Spring']",0,6,0,0,0
Java,20-30K,长沙,,,5-10年,本科,"['购房福利', '意外险', '节日福利', '团建聚餐', '节假日加班费', '宝宝补贴', '夜班补助', '高温补贴', '零食下午茶', '加班补助', '带薪年假', '生日福利', '绩效奖金']","['Java', 'Spring', 'MySQL']",20.0,30.0,1.0,25.0,5,10,5,本科,开发工程师,"['购房福利', '意外险', '节日福利', '团建聚餐', '节假日加班费', '宝宝补贴', '夜班补助', '高温补贴', '零食下午茶', '加班补助', '带薪年假', '生日福利', '绩效奖金']","['Java', 'Spring', 'MySQL']",13,3,0,0,0
生信分析工程师-单细胞组学,9-14K,长沙,芙蓉区,农科院,1-3年,硕士,"['五险一金', '通讯补贴', '员工旅游', '宿舍有空调', '带薪年假', '年终奖', '高温补贴', '餐补', '绩效奖金', '股票期权', '包吃', '定期体检', '交通补助', '提供宿舍']","['生物信息分析', '单细胞组学研究']",9.0,14.0,1.0,11.5,1,3,6,硕士,其他,"['五险一金', '通讯补贴', '员工旅游', '宿舍有空调', '带薪年假', '年终奖', '高温补贴', '餐补', '绩效奖金', '股票期权', '包吃', '定期体检', '交通补助', '提供宿舍']","['生物信息分析', '单细胞组学研究']",14,2,0,0,0
渗透测试工程师,13-14K,长沙,芙蓉区,东屯渡,3-5年,本科,"['通讯补贴', '补充医疗保险', '免费班车', '年终奖', '带薪年假', '员工旅游', '餐补', '交通补助', '零食下午茶', '五险一金', '节日福利', '定期体检']","['Web测试经验', '渗透测试经验', '攻防对抗经验', '计算机相关专业']",13.0,14.0,1.0,13.5,3,5,5,本科,测试工程师,"['通讯补贴', '补充医疗保险', '免费班车', '年终奖', '带薪年假', '员工旅游', '餐补', '交通补助', '零食下午茶', '五险一金', '节日福利', '定期体检']","['Web测试经验', '渗透测试经验', '攻防对抗经验', '计算机相关专业']",12,4,0,0,0
数据分析,9-14K,长沙,芙蓉区,汽车东站,3-5年,本科,"['五险', '员工旅游', '餐补', '包吃', '补充医疗保险', '年终奖']","['SQL', 'Power BI', 'Python']",9.0,14.0,1.0,11.5,3,5,5,本科,数据分析/工程师,"['五险', '员工旅游', '餐补', '包吃', '补充医疗保险', '年终奖']","['SQL', 'Power BI', 'Python']",6,3,0,1,0
运维主管——驻场通信行业子公司,10-15K·13薪,长沙,芙蓉区,马王堆,5-10年,本科,"['股票期权', '补充医疗保险', '年终奖', '餐补', '五险一金', '意外险', '定期体检', '朝九晚六', '带薪年假']","['系统运维', '实施交付运维', 'DBA', 'MySQL/Oracle', 'Nginx', 'DBA工程师', '售前', '项目经理']",10.0,15.0,1.0833333333333333,13.541666666666666,5,10,5,本科,运维工程师,"['股票期权', '补充医疗保险', '年终奖', '餐补', '五险一金', '意外险', '定期体检', '朝九晚六', '带薪年假']","['系统运维', '实施交付运维', 'DBA', 'MySQL/Oracle', 'Nginx', 'DBA工程师', '售前', '项目经理']",9,8,0,0,0
飞控软件开发工程师,7-12K,长沙,芙蓉区,汽车东站,3-5年,本科,"['节日福利', '五险一金', '带薪年假', '员工旅游', '餐补', '工龄奖', '定期体检', '年终奖', '全勤奖']","['Java', 'C++', '嵌入式软件经验', 'MySQL', '地图/导航经验', '无人机平台']",7.0,12.0,1.0,9.5,3,5,5,本科,开发工程师,"['节日福利', '五险一金', '带薪年假', '员工旅游', '餐补', '工龄奖', '定期体检', '年终奖', '全勤奖']","['Java', 'C++', '嵌入式软件经验', 'MySQL', '地图/导航经验', '无人机平台']",9,6,0,0,0
